id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
995791862790500758,Home in Columbus · ★4.0 · 5 bedrooms · 9 beds · 2 baths,498509260,Benjamin,,Near North/University,39.99477,-82.9981,Entire home/apt,204,1,4,2023-11-26,2.31,22,361,4,2022-3479
996270921588705118,Home in Columbus · ★4.79 · 2 bedrooms · 2 beds · 1.5 baths,143872023,Thomas,,South Linden,40.0100988,-82.9509329,Entire home/apt,69,1,14,2023-12-22,5.32,1,148,14,2023-4656
996491579676003879,Rental unit in Columbus · ★4.0 · 1 bedroom · 1 bed · 1 bath,524876691,Jose,,Near South,39.94274,-82.97867,Entire home/apt,77,1,4,2023-11-13,1.85,3,176,4,2023-3847
996498524327972808,Home in Columbus · 3 bedrooms · 3 beds · 1 bath,286980818,Cheryl,,Franklinton,39.9488574233154,-83.03121691579715,Entire home/apt,94,30,1,2023-10-28,0.51,28,346,1,
996525788589792017,Rental unit in Columbus · ★5.0 · 1 bedroom · 1 bed · 1 bath,524876691,Jose,,Near South,39.94423200446534,-82.9789656913288,Entire home/apt,76,1,4,2023-11-26,1.82,3,172,4,2023-3847
996591867174836471,Home in Columbus · ★4.67 · 5 bedrooms · 5 beds · 2 baths,158439641,GH Hospitality,,Near North/University,39.99015880636363,-83.00800224550883,Entire home/apt,262,1,5,2023-11-25,2.27,89,0,5,2023-3549
997083775782665379,Home in Columbus · ★4.88 · 3 bedrooms · 4 beds · 1 bath,322346269,Kathy,,West Scioto,39.98235058169063,-83.10633752402728,Entire home/apt,110,1,8,2023-12-17,4.07,1,225,8,2023-4855
997129955692055423,Home in Columbus · ★4.60 · 3 bedrooms · 4 beds · 2 baths,497160004,Megan,,Near East,39.961763,-82.959625,Entire home/apt,149,1,5,2023-12-07,2.31,3,299,5,2023-4586
997275651726195098,Home in Columbus · ★5.0 · 4 bedrooms · 7 beds · 2.5 baths,23609586,Ahmed,,Northeast,40.02060971242202,-82.9110882625013,Entire home/apt,197,2,6,2023-12-17,4.00,1,212,6,
997716050239272064,Home in Columbus · 2 bedrooms · 2 beds · 1.5 baths,179937609,Sarah,,Near South,39.934488283237556,-82.9826977722343,Entire home/apt,88,30,0,,,1,88,0,
998051652355872924,Home in Columbus · 5 bedrooms · 6 beds · 2 baths,508106152,Housepitality,,Clintonville,40.031672363173925,-83.02111296655384,Entire home/apt,418,1,2,2023-11-12,0.92,10,356,2,2023-4427
998243448996492721,Home in Columbus · 2 bedrooms · 4 beds · 2 baths,109117484,Sergio,,Near North/University,39.973646429342814,-83.00921153519279,Entire home/apt,165,1,2,2023-11-15,1.36,19,255,2,2023-3388
998432623801469737,Home in Columbus · 3 bedrooms · 4 beds · 2 baths,533073266,Advent,,Near North/University,40.01336982932505,-83.00308575503742,Entire home/apt,178,1,0,,,7,0,0,2022-2093
998550395722043859,Home in Columbus · 3 bedrooms · 4 beds · 2.5 baths,533073266,Advent,,Near East,39.95381371456451,-82.9618493074639,Entire home/apt,145,1,1,2023-10-24,0.47,7,269,1,2022-2093
998646022389410027,Rental unit in Columbus · 2 bedrooms · 2 beds · 2.5 baths,532266836,James,,Downtown,39.96658004691199,-83.00958109242085,Entire home/apt,80,30,0,,,1,357,0,
999275568445507457,Rental unit in Columbus · 2 bedrooms · 2 beds · 2 baths,453019578,Tom,,West Olentangy,39.98907718230709,-83.03276085885605,Entire home/apt,119,1,1,2023-11-26,1,51,83,1,2022-1978
999294733611022853,Home in Columbus · 3 bedrooms · 3 beds · 2.5 baths,182105923,Holly,,Near North/University,39.99103753715051,-83.01030277575971,Entire home/apt,263,7,0,,,2,85,0,2022-2484
